"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000941","서울잠동초등학교","02","공립","N","","5","130","26","4","106","26.5","5","119","23.8","6","143","23.8","6","156","26","7","167","23.9","0","0","0","0","0","0","33","821","24.9","41","20"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000942","서울잠신초등학교","02","공립","N","","7","241","34.4","8","263","32.9","7","226","32.3","9","297","33","9","283","31.4","10","304","30.4","0","0","0","0","0","0","50","1614","32.3","62","26"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000943","서울잠실초등학교","02","공립","N","","7","223","31.9","7","215","30.7","6","166","27.7","6","193","32.2","6","180","30","6","178","29.7","1","6","6","0","0","0","39","1161","29.8","49","23.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000944","서울잠일초등학교","02","공립","N","","9","320","35.6","9","271","30.1","9","307","34.1","9","311","34.6","9","269","29.9","11","328","29.8","1","7","7","0","0","0","57","1813","31.8","69","26.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000945","서울잠전초등학교","02","공립","N","","6","139","23.2","5","110","22","4","106","26.5","5","124","24.8","6","153","25.5","5","131","26.2","0","0","0","0","0","0","31","763","24.6","37","20.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000946","서울중대초등학교","02","공립","N","","7","181","25.9","7","167","23.9","6","171","28.5","8","199","24.9","8","199","24.9","10","241","24.1","0","0","0","0","0","0","46","1158","25.2","57","20.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000947","서울천동초등학교","02","공립","N","","6","178","29.7","6","149","24.8","6","143","23.8","6","141","23.5","6","150","25","6","142","23.7","2","7","3.5","0","0","0","38","910","23.9","45","20.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000948","서울천일초등학교","02","공립","N","","3","73","24.3","3","71","23.7","3","69","23","4","85","21.3","3","74","24.7","4","95","23.8","1","6","6","0","0","0","21","473","22.5","27","17.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000949","서울천호초등학교","02","공립","N","","6","146","24.3","6","144","24","6","142","23.7","7","173","24.7","8","184","23","8","204","25.5","2","9","4.5","0","0","0","43","1002","23.3","53","18.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000950","서울토성초등학교","02","공립","N","","7","159","22.7","6","165","27.5","6","148","24.7","6","156","26","6","160","26.7","6","144","24","1","9","9","0","0","0","38","941","24.8","47","20"
